system:index,date,class_id,LAI_MODIS,FVC_crudo,FVC_gf,LAI_MODIS_raw,FPAR_MODIS,LAI_gf,LAI_crudo,FPAR_MODIS_raw
4_339_0,2023-01-30,5203,0.4,1.0E-5,0.0071057905,4,0.26,0.4425639,0.45328727,26
4_343_0,2023-01-30,5265,0.8,1.0E-5,0.0019885977,8,0.34,0.22766308,0.18164879,34
4_350_0,2023-01-30,3179,0.9,0.01846624,0.024334816,9,0.38,0.27145582,0.26035804,38
4_357_0,2023-01-30,7753,1.1,0.03680181,0.03077457,11,0.53,0.31464526,0.338239,53
4_358_0,2023-01-30,9745,0.8,0.032053098,0.03802651,8,0.44,0.43184903,0.45719028,44
4_373_0,2023-01-30,2431,0.5,1.0E-5,0.05807998,5,0.29,0.2906622,0.33503997,29
4_396_0,2023-01-30,9182,0.7000000000000001,1.0E-5,0.0052101216,7,0.4,0.26556352,0.32373357,40
4_418_0,2023-01-30,3744,1.0,1.0E-5,1.0056179E-5,10,0.49,0.38175994,0.52277964,49
4_422_0,2023-01-30,7245,0.9,0.10492512,0.115558304,9,0.47000000000000003,0.2744696,0.2513561,47
4_424_0,2023-01-30,1763,0.7000000000000001,0.016170483,0.04112586,7,0.4,0.34553918,0.3387736,40
4_430_0,2023-01-30,7487,0.5,1.0E-5,0.0042574895,5,0.28,0.2781112,0.25807264,28
4_441_0,2023-01-30,7215,0.5,1.0E-5,0.008927975,5,0.26,0.19499838,0.23481083,26
4_447_0,2023-01-30,3281,0.7000000000000001,0.028945204,0.03306405,7,0.34,0.2239087,0.2023232,34
4_449_0,2023-01-30,8225,0.5,1.0E-5,0.0020500831,5,0.27,0.27045587,0.16795099,27
4_455_0,2023-01-30,7579,0.6000000000000001,0.027292619,0.018984413,6,0.33,0.29334998,0.29960495,33
4_464_0,2023-01-30,7130,0.7000000000000001,1.0E-5,0.0076148803,7,0.3,0.30380476,0.30603427,30
4_471_0,2023-01-30,544,0.5,1.0E-5,0.010796062,5,0.28,0.28089532,0.31163737,28
4_482_0,2023-01-30,4903,2.5,0.62537396,0.59067523,25,0.73,1.6518989,1.9397668,73
4_499_0,2023-01-30,7911,1.4000000000000001,0.2453344,0.19752058,14,0.6,0.3724018,0.42478773,60
5_2_0,2023-02-04,6139,1.1,0.10611813,0.123981975,11,0.39,0.2783099,0.25175196,39
5_8_0,2023-02-04,6202,0.6000000000000001,1.0E-5,8.4861164E-4,6,0.3,0.5487848,0.5740144,30
5_11_0,2023-02-04,2812,0.7000000000000001,1.0E-5,0.009921006,7,0.34,0.33909783,0.46794516,34
5_38_0,2023-02-04,516,0.7000000000000001,0.09661657,0.089270905,7,0.32,0.22984469,0.3088391,32
5_57_0,2023-02-04,7941,0.6000000000000001,0.020605776,0.012539453,6,0.27,0.44908762,0.43656102,27
5_73_0,2023-02-04,3002,0.4,0.019360894,0.0087108845,4,0.21,0.16198047,0.1434204,21
5_82_0,2023-02-04,3426,0.5,1.0E-5,0.010122501,5,0.29,0.27293316,0.3455497,29
5_102_0,2023-02-04,214,0.30000000000000004,0.0031089692,0.0041539306,3,0.14,0.16380772,0.14726725,14
5_106_0,2023-02-04,956,0.5,1.0E-5,0.020561783,5,0.29,0.25026858,0.19468084,29
5_109_0,2023-02-04,9856,0.5,0.10525888,0.092096366,5,0.24,0.2538944,0.26342043,24
5_145_0,2023-02-04,3134,0.5,1.0E-5,1.0E-5,5,0.23,0.42204642,0.4179812,23
5_153_0,2023-02-04,6697,0.5,1.0E-5,0.0077468655,5,0.26,0.35412025,0.46639708,26
5_171_0,2023-02-04,5774,0.30000000000000004,0.0078031057,0.0067807734,3,0.22,0.17019495,0.2097902,22
5_176_0,2023-02-04,6355,0.7000000000000001,1.0E-5,1.0073411E-5,7,0.4,0.6783954,0.6211985,40
5_213_0,2023-02-04,3880,0.5,0.020134035,0.012523751,5,0.26,0.27886298,0.26963145,26
5_229_0,2023-02-04,9953,0.5,1.0E-5,0.0040183957,5,0.28,0.31220183,0.3570811,28
5_245_0,2023-02-04,1735,0.7000000000000001,0.026774008,0.013983191,7,0.31,0.27998155,0.15676014,31
5_247_0,2023-02-04,9664,0.30000000000000004,1.0E-5,0.0028303901,3,0.18,0.345293,0.4626698,18
5_258_0,2023-02-04,8960,0.5,0.061843514,0.050756622,5,0.25,0.15803419,0.05457952,25
5_269_0,2023-02-04,3474,0.9,0.11322928,0.094104804,9,0.45,0.27150398,0.2694396,45
